from;to
00840;OVGBuitenlands diploma (deze vooropleiding is toegevoegd na analyse)
00901;OVGOverige getuigschriften en niet voltooide vooropleidingen
00927;MBOApplicatieprogrammeur
01020;HO Commerciele bedrijfskunde
01021;HO Bedrijfskunde algemeen
01022;HO Overheid en Onderneming
01023;HO Politiek en Beleid
01024;HO Lokaal bestuur en beleid
01025;HO Cultuurgeschiedenis
01026;HO Kunstbeleid
01027;HO Literatuurwetenschap
01028;HO Filosofie
01029;HO Financieel economisch overheidsbeleid
01030;HO Bestuurlijke Informatiekunde
01031;HO Toegepaste oecologie
01032;HO Milieu en chemie
01033;HO Geosystemen
01034;HO Ecotoxicologie
01035;HO Milieumanagement
01036;HO Mens en Techniek
01037;HO Inrichting werkplek
01038;HO Onderwijsorganisatie
01039;HO Personeel en organisatie
01040;HO Methoden en technieken Sociale Wetenschappen
01041;HO Allochtonen en minderheden
01042;HO Informatica onderbouw
01043;HO Informatietechnologie
01044;HO Informatica
01045;HO Wiskunde onderbouw
01046;HO Personeelsmanagement
01047;HO Onderwijs
04001;HO Opleiding tolk-vertaler
04003;HO Bedrijfsleer
04004;HO Opleiding tot tolk-vertaler
04005;HO Congrestolk Russisch
04006;HO Kort HBO bedrijfseconomisch management
04007;HO Bachelor hotel- of toeristisch management
04008;HO Bachelor small business and retail management
04011;HO Kort HBO secretarieel medewerker
04012;HO Hoger financieel economisch management
04013;HO Bedrijfsmanagement toerisme en recreatie
04014;HO Kort HBO Business Administration
04015;HO Management - ondersteuning
04016;HO Natuurlijk genezer
04017;HO Integrale veiligheidszorg
04018;HO Transport
04019;HO Vrije studierichting
04020;HO Makelaardij o.g. (3-jarig)
04021;HO Financieel management (MBA/SPD) (1-jarig)
04022;HO Financieel management (MBA/SPD) (2-jarig)
04023;HO Assurantie (2-jarig)
04024;HO Assurantie (3-jarig)
04025;HO Office management (2-jarig)
04026;HO Commercieel Management (2-jarig)
04027;HO Toeristisch management (2-jarig)
04028;HO Marketing management (1-jarig)
04029;HO Marketing management (3-jarig)
04030;HO Hoger Toeristisch Management
04031;HO Toerisme (1-jarig)
04032;HO Toerisme (2-jarig)
04035;HO Bedrijfskunde
04036;HO Communicatiemanagement
04038;HO Marketing en logistiek
04040;HO Sport en bewegen
04041;HO Trade management gericht op Azie
04042;HO Assurantie (4-jarig)
04043;HO Bank en verzekeringen
04045;HO Office Management (3-jarig)
04046;HO Office Management (4-jarig)
04047;HO HBO lichaamsverzorging
04048;HO Kort HBO lichaamsverzorging
04049;HO Marketing Management (4-jarig)
04052;HO Account Management (4-jarig)
04055;HO Toeristisch Management (4-jarig)
04056;HO Opleiding tot vertaler (4-jarig)
04057;HO Sport, gezondheid en management
04058;HO HTO-Telecommunicatie
04059;HO Sport en Bewegingseducatie
04060;HO Grafimediatechnologie
04061;HO Software Engineering and Internetmarketing
04062;HO Verkeersveiligheid en mobiliteit
04063;HO Commercieel/Communicatiemanagement
04064;HO Visual Information/Communication Design
04065;HO Veranderingsmanagement
04066;HO Palliatieve-zorg
04067;HO Sportpsychologie
04068;HO Organisatiepsychologie
04069;HO Onderwijsmanagement
04070;HO Manuele therapie
04071;HO Management Assistent
04072;HO Logistiek Management
04073;HO Lijnmanagement
04074;HO Watermanagement
04075;HO Jeugdpsychologie
04076;HO Internationale Handel
04077;HO Financieel Rechercheren
04078;HO Executive manager
04079;HO E-commerce / E-business
04080;HO Communicatiepsychologie
04081;HO Circulatiemanagement
04082;HO Arbeidskunde en reintegratie
04083;HO AA accountancy
04084;HO Onderwijskunde
04085;HO Vrije studierichting HBO Techniek
04086;HO Vrije studierichting HBO Economie
04087;HO Vrije studierichting HBO Maatschappij
04088;HO Belastingacademie
04089;HO Human Technology
04090;HO Farmakunde
04091;HO Huidtherapie
04092;HO Communication and Multimedia Design
04093;HO Bank en verzekeringen
04094;HO Bedrijfskunde
04100;HO Opleiding tot leraar speciaal onderwijs algemeen
04101;HO Opleiding tot leraar speciaal onderwijs A voor gehoorgestoorden
04102;HO Opleiding tot leraar speciaal onderwijs B voor gehoorgestoorden
04103;HO Opleiding tot leraar speciaal onderwijs algemeen
04104;HO Tweedegraads lerarenopleiding nederlandse gebarentaal (NGT)/tolkenopleiding
04151;HO Chemisch a
04152;HO Biotechnologie
04154;HO Fysisch a
04156;HO Informatiesystemen BI-IS
04158;HO System Engineering BI-SE
04161;HO Chemisch b
04164;HO Exploitatie en beheer automatisering BI-EB
04166;HO Kort HBO communicatie
04177;HO Medisch b na a
04178;HO Chemisch b na a
04180;HO Fysisch b na a
04181;HO Prop. jaar hoger lab ond
04182;HO Biologische laboratoriumopleiding
04184;HO Analytische proces- en laboratoriuminstrumentatie
04186;HO Chemische laboratoriumopleiding
04189;HO Medische apparatentechniek
04190;HO Hydrografie
04192;HO Laboratoriumtechniek
04194;HO Kort HBO weg- en waterbouwk opzich/uitv
04195;HO Kort HBO analytische methoden
04196;HO Kort HBO proceskunde
04197;HO Elektrotechnisch opzichter
04198;HO Constructeur werktuigbouwkunde
04199;HO Constructeur piping
04200;HO Algemeen
04202;HO Landbouw
04203;HO Tropische landbouw
04205;HO Biologische landbouw
04214;HO Internationale agrarische handel
04216;HO Kort HBO haarverzorging
04217;HO HBO Haarverzorging
04220;HO Tuin- en landschapsinrichting
04221;HO Bos- en natuurbeheer
04222;HO Tuinbouw
04224;HO Levensmiddelentechnologie
04226;HO Land-, water- en milieubeheer
04227;HO Milieukunde
04228;HO Agrarische bedrijfskunde
04245;HO Hogere opleiding Software engineer
04246;HO Hogere opleiding System engineer
04247;HO Propedeutisch jaar hoger paramedisch onderwijs
04254;HO Technische commerciele confectiekunde
04255;HO Technische commerciele textielkunde
04256;HO HTO informatica
04261;HO Bouwtechnische bedrijfskunde
04262;HO Autotechniek
04263;HO Bouwkunde
04264;HO Materiaalkunde
04265;HO Economische bedrijfstechniek
04267;HO Elektrotechniek
04268;HO Technische natuurkunde
04269;HO Hogere informatica
04270;HO Computertechniek
04272;HO Geodesie
04273;HO Metaalkunde
04275;HO Chemische technologie
04276;HO Scheepsbouwkunde
04277;HO Instrumentele technologie
04278;HO Luchtvaarttechnologie
04279;HO Civiele techniek
04280;HO Werktuigbouwkunde
04281;HO Verkeerstechniek
04282;HO Ruimtelijke ordening en planologie
04284;HO Milieukunde
04285;HO Logistiek management
04286;HO Opleiding tot verkeersvlieger
04287;HO Opleiding voor bedrijfskader
04288;HO Materiaalkunde
04289;HO Informatica en informatiekunde
04290;HO Informatica
04291;HO Prop hoger technisch onderwijs
04292;HO Kort HBO informatica
04293;HO Kort HBO Logistiek
04303;HO Agrarische techniek i/ii gericht op lao
04304;HO Dierenhouderij en verwerking i/ii gericht op lao
04305;HO Plantenteelt en verwerking i/ii gericht op lao
04306;HO Tuinbouw en plantenteelt en -verwerking ii gericht op lao
04307;HO Agrarische economie gericht op mao
04308;HO Agrarische techniek i/ii gericht op mao
04309;HO Levensmiddelentechnologie i/ii gericht op mao
04310;HO Plantenteelt en verwerking i/ii gericht op mao
04312;HO Veehouderij en verwerking i/ii gericht op mao
04320;HO Opleiding voor beroepen op het terrein van architectuur
04321;HO Opleiding voor beroepen op het terrein van stedebouw
04322;HO Opleiding voor beroepen op het terrein van landschapsarchitectuur
04326;HO Agrologistiek
04327;HO Agroproduktkunde
04328;HO Bos- en natuurbeheer
04329;HO Plantenteelt
04330;HO Veehouderij
04331;HO Biotechnologie
04332;HO Aquatische ecotechnologie
04333;HO Diermanagement
04334;HO Agrarische accountancy
04335;HO Milieutechnologie
04336;HO Opleiding voor beroepen op het terrein van architectuur (tweede fase-opleiding)
04337;HO Opleiding voor beroepen op het terrein van landschapsarchitectuur (tweede fase-opleiding)
04338;HO Opleiding voor beroepen op het terrein van stedebouw (tweede fase-opleiding)
04349;HO Hoger Elektronicus
04353;HO Navigatie
04356;HO Scheepswerktuigkundige c deel 2
04357;HO Scheepswerktuigkunde
04358;HO Scheepswerktuigkundige a
04359;HO Scheepswerktuigkundige b deel 2
04360;HO Scheepsradiocommunicatie
04362;HO 2e stuurman
04363;HO 1e stuurman
04364;HO Scheepswerktuigkundige b deel 1
04365;HO Scheepswerktuigkundige c deel 1
04366;HO Leraar nautisch onderwijs eerste graad in radiokunde
04367;HO Vliegtuigoperatie
04368;HO 3e stuurman (bevarenen)
04369;HO Alg.operationele technologie
04371;HO Verkeerskunde
04372;HO Vervoerskunde (oud)
04373;HO Vervoerskunde
04374;HO Haven- en vervoerskunde
04375;HO Logistiek management
04378;HO Kort HBO Facility Management
04379;HO Petroleum - en gastechnologie
04380;HO Propedeuse hoger nautisch onderwijs
04381;HO Planologie
04382;HO Technische vervoerskunde
04383;HO Semi-geintegreerd officier
04384;HO Maritiem officier
04385;HO Maritieme bedrijfsvoering
04386;HO AOT - techniek
04387;HO Aot-haventechnologie
04388;HO Aot-maritieme bedrijfsvoering
04389;HO Industrieel produkt ontwerpen
04390;HO Logistiek en technische vervoerskunde
04391;HO Milieugerichte materiaaltechnologie
04393;HO Logistiek en Vervoer
04394;HO Management Documentaire Informatievoorziening (HMDI)
04396;HO Chemie
04397;HO Biologie en medisch laboratoriumonderzoek
04398;HO Informatievoorziening en Communicatie
04399;HO Commerciele Economie van het Vervoer
04400;HO Propedeuse heao
04401;HO Bedrijfseconomie
04402;HO Commerciele economie
04403;HO Algemene juridische economie
04404;HO Bedrijfskundige informatica
04405;HO Communicatie
04406;HO Accountancy
04407;HO International Business and Languages
04408;HO Bestuurskunde
04409;HO Fiscale economie
04410;HO Hoger Toeristisch en Recreatief Onderwijs
04411;HO Hoger hotelonderwijs
04412;HO Toerisme (3-jarig)
04414;HO Hoger Onderwijs Financiele en Zakelijke Dienstverlening
04416;HO Hoger distributie onderwijs
04417;HO Openbaar bestuur
04418;HO Bedrijfsadministratie
04419;HO Hogere Europese beroepenopleiding
04420;HO Communicatiesystemen
04421;HO Technische bedrijfskunde
04422;HO Small business en Retail Management
04423;HO Management informatica
04424;HO Kort HBO Toeristisch en recreatief onderwijs
04425;HO Kort HBO Bedrijfskundige Informatica
04426;HO SPD bedrijfsadministratie
